Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price-$,Purchased Date,Year-Month
Florida,Thar,Mahindra,SUV,Black,Automatic,5,3,Petrol,2015,8400,2021-03-09,2021-03
Florida,Plato,Prazo,Convertible,Red,Manual,2,2,Petrol,2019,9000,2018-02-27,2018-02
Texas,Creta,Hyundai,Hatchback,Red,Manual,5,5,Hybrid,2016,7800,2024-08-02,2024-08
Colorado,Kags,Renault,SUV,Gray,Manual,7,5,Petrol,2019,8000,2017-11-29,2017-11
Pennsylvania,Yodha,Tata,Truck,Blue,Automatic,3,2,Electric,2022,8700,2023-09-13,2023-09
Pennsylvania,i20,Hyundai,Hatchback,Gray,Automatic,4,5,Diesel,2020,6500,2019-01-13,2019-01
New York,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Diesel,2024,6600,2018-04-23,2018-04
Utah,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Diesel,2020,6500,2016-06-04,2016-06
Tennessee,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Petrol,2023,7600,2022-07-28,2022-07
Colorado,Hilux,Toyota,Truck,White,Manual,4,2,Diesel,2023,7200,2016-03-27,2016-03
North Carolina,Thar,Mahindra,SUV,Red,Automatic,5,3,Hybrid,2018,9100,2016-03-24,2016-03
California,Kags,Renault,SUV,Red,Automatic,7,5,Diesel,2016,8400,2018-10-06,2018-10
Oregon,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Petrol,2024,7500,2022-06-11,2022-06
Oklahoma,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Diesel,2021,7900,2017-06-04,2017-06
North Carolina,Scorpio,Mahindra,SUV,Black,Manual,5,5,Diesel,2021,7900,2020-05-09,2020-05
Arizona,Swift,Maruti,Sedan,Gray,Manual,5,4,Electric,2023,8100,2022-08-29,2022-08
Colorado,Swift,Maruti,Sedan,Black,Manual,5,4,Electric,2017,8700,2022-02-15,2022-02
Colorado,Thar,Mahindra,SUV,Gray,Manual,5,3,Diesel,2017,8300,2015-03-16,2015-03
California,Seltos,Kia,Hatchback,Red,Automatic,5,5,Electric,2017,8200,2018-12-01,2018-12
Ohio,Kags,Renault,SUV,Red,Manual,7,5,Petrol,2022,7700,2020-03-27,2020-03
Arizona,Kags,Renault,SUV,Blue,Automatic,7,5,Electric,2021,9300,2015-02-18,2015-02
Colorado,Fortuner,Toyota,SUV,Black,Manual,8,5,Electric,2017,9700,2021-11-19,2021-11
Tennessee,Hilux,Toyota,Truck,Black,Automatic,4,2,Diesel,2023,7200,2015-11-22,2015-11
California,Kags,Renault,SUV,Red,Manual,7,5,Diesel,2022,7800,2016-01-20,2016-01
Ohio,Dzire,Maruti,Sedan,Blue,Manual,5,5,Electric,2023,8100,2018-01-05,2018-01
North Carolina,Yodha,Tata,Truck,Gray,Manual,3,2,Hybrid,2018,8600,2019-07-15,2019-07
Pennsylvania,Yodha,Tata,Truck,Blue,Manual,3,2,Electric,2019,9000,2015-01-07,2015-01
Tennessee,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2017,9700,2023-06-13,2023-06
Texas,Swift,Maruti,Sedan,Red,Automatic,5,4,Electric,2017,8700,2022-11-25,2022-11
Michigan,Etriga,Maruti,Hatchback,Black,Manual,4,5,Hybrid,2018,7600,2021-11-22,2021-11
Tennessee,Dzire,Maruti,Sedan,Blue,Manual,5,5,Electric,2015,8900,2022-04-05,2022-04
Oklahoma,Yodha,Tata,Truck,Blue,Automatic,3,2,Diesel,2018,7700,2016-09-15,2016-09
Florida,Kags,Renault,SUV,Black,Manual,7,5,Petrol,2020,7900,2019-07-02,2019-07
Arizona,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Diesel,2015,7000,2020-07-07,2020-07
Oklahoma,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Hybrid,2021,7300,2023-03-20,2023-03
California,Hilux,Toyota,Truck,Red,Automatic,4,2,Diesel,2016,7900,2020-11-08,2020-11
Utah,Etriga,Maruti,Hatchback,White,Automatic,4,5,Petrol,2020,6400,2021-11-14,2021-11
California,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Hybrid,2019,9000,2022-03-29,2022-03
Ohio,Creta,Hyundai,Hatchback,White,Manual,5,5,Petrol,2016,6800,2023-01-09,2023-01
Pennsylvania,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2020,8000,2021-03-15,2021-03
Illinois,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Hybrid,2016,7800,2021-11-15,2021-11
Texas,Fortuner,Toyota,SUV,Red,Automatic,8,5,Petrol,2017,8200,2020-09-05,2020-09
Pennsylvania,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Hybrid,2017,9200,2018-03-29,2018-03
Florida,Seltos,Kia,Hatchback,White,Manual,5,5,Petrol,2019,6500,2023-10-27,2023-10
Illinois,Scorpio,Mahindra,SUV,Red,Manual,5,5,Hybrid,2020,8900,2023-01-30,2023-01
Arizona,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Electric,2024,8000,2020-01-22,2020-01
Oregon,Kags,Renault,SUV,Blue,Automatic,7,5,Petrol,2016,8300,2019-09-25,2019-09
North Carolina,Etriga,Maruti,Hatchback,Red,Manual,4,5,Diesel,2019,6600,2018-10-23,2018-10
Oregon,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Petrol,2017,6700,2023-04-27,2023-04
Tennessee,i20,Hyundai,Hatchback,White,Automatic,4,5,Hybrid,2016,7800,2015-10-06,2015-10
California,Plato,Prazo,Convertible,White,Automatic,2,2,Hybrid,2015,10400,2023-05-12,2023-05
Oklahoma,Thar,Mahindra,SUV,Black,Automatic,5,3,Electric,2017,9700,2023-11-10,2023-11
Pennsylvania,Hilux,Toyota,Truck,White,Manual,4,2,Hybrid,2017,8700,2017-02-19,2017-02
New York,Kags,Renault,SUV,Gray,Automatic,7,5,Hybrid,2021,8800,2023-06-16,2023-06
New York,Hilux,Toyota,Truck,Red,Manual,4,2,Electric,2023,8600,2022-12-04,2022-12
Oklahoma,Seltos,Kia,Hatchback,Gray,Manual,5,5,Hybrid,2024,7000,2018-10-04,2018-10
Michigan,Thar,Mahindra,SUV,Gray,Automatic,5,3,Electric,2016,9800,2021-02-26,2021-02
Pennsylvania,Thar,Mahindra,SUV,Red,Manual,5,3,Diesel,2015,8500,2015-04-28,2015-04
Utah,i20,Hyundai,Hatchback,Black,Manual,4,5,Diesel,2021,6400,2023-02-07,2023-02
Colorado,Dzire,Maruti,Sedan,White,Automatic,5,5,Electric,2015,8900,2023-10-15,2023-10
Florida,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Diesel,2017,6800,2024-04-29,2024-04
Michigan,Scorpio,Mahindra,SUV,Red,Manual,5,5,Diesel,2019,8100,2021-05-20,2021-05
Texas,Hilux,Toyota,Truck,White,Manual,4,2,Electric,2018,9100,2023-11-18,2023-11
Arizona,Kags,Renault,SUV,Black,Manual,7,5,Diesel,2021,7900,2018-01-31,2018-01
Illinois,Plato,Prazo,Convertible,Red,Manual,2,2,Electric,2024,10000,2016-06-27,2016-06
Ohio,Yodha,Tata,Truck,Blue,Automatic,3,2,Diesel,2017,7800,2022-03-25,2022-03
Ohio,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Electric,2022,7700,2017-03-03,2017-03
Oklahoma,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Diesel,2017,8300,2024-03-26,2024-03
New York,Thar,Mahindra,SUV,Blue,Automatic,5,3,Diesel,2024,7600,2017-10-03,2017-10
Michigan,Swift,Maruti,Sedan,Black,Automatic,5,4,Petrol,2024,6500,2021-08-12,2021-08
Pennsylvania,Creta,Hyundai,Hatchback,White,Manual,5,5,Electric,2020,7900,2024-04-30,2024-04
Florida,Seltos,Kia,Hatchback,Black,Manual,5,5,Electric,2019,8000,2019-01-26,2019-01
California,Plato,Prazo,Convertible,Red,Automatic,2,2,Petrol,2023,8600,2017-06-28,2017-06
Oregon,Fortuner,Toyota,SUV,Red,Automatic,8,5,Diesel,2021,7900,2015-01-03,2015-01
Arizona,Hilux,Toyota,Truck,Black,Manual,4,2,Electric,2019,9000,2020-03-11,2020-03
Florida,Scorpio,Mahindra,SUV,White,Automatic,5,5,Electric,2021,9300,2020-02-29,2020-02
North Carolina,Plato,Prazo,Convertible,Red,Automatic,2,2,Hybrid,2022,9700,2020-10-26,2020-10
Illinois,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Hybrid,2017,9200,2024-08-12,2024-08
Wisconsin,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Electric,2015,9900,2016-08-27,2016-08
Michigan,Swift,Maruti,Sedan,Gray,Manual,5,4,Petrol,2024,6500,2023-06-13,2023-06
California,Seltos,Kia,Hatchback,Red,Manual,5,5,Diesel,2018,6700,2019-10-16,2019-10
Wisconsin,Hilux,Toyota,Truck,Red,Manual,4,2,Diesel,2023,7200,2016-09-01,2016-09
Arizona,Kags,Renault,SUV,Red,Manual,7,5,Hybrid,2021,8800,2019-05-28,2019-05
Wisconsin,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Hybrid,2016,7800,2016-08-05,2016-08
Oklahoma,Yodha,Tata,Truck,Red,Automatic,3,2,Hybrid,2015,8900,2020-09-13,2020-09
Colorado,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Hybrid,2016,9300,2023-04-27,2023-04
Colorado,Yodha,Tata,Truck,Black,Manual,3,2,Hybrid,2016,8800,2023-06-23,2023-06
Ohio,i20,Hyundai,Hatchback,Red,Manual,4,5,Diesel,2022,6300,2018-08-06,2018-08
California,Plato,Prazo,Convertible,Black,Automatic,2,2,Electric,2024,10000,2016-01-31,2016-01
California,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Electric,2022,7700,2020-02-16,2020-02
Pennsylvania,Plato,Prazo,Convertible,Blue,Manual,2,2,Petrol,2023,8600,2015-03-19,2015-03
Florida,Etriga,Maruti,Hatchback,Red,Manual,4,5,Hybrid,2023,7100,2023-04-11,2023-04
Michigan,Creta,Hyundai,Hatchback,White,Manual,5,5,Diesel,2018,6700,2024-01-21,2024-01
New York,Seltos,Kia,Hatchback,White,Manual,5,5,Hybrid,2024,7000,2018-02-03,2018-02
California,Fortuner,Toyota,SUV,Black,Manual,8,5,Diesel,2022,7800,2015-04-02,2015-04
New York,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Diesel,2021,7900,2017-07-14,2017-07
Texas,Thar,Mahindra,SUV,Gray,Automatic,5,3,Petrol,2016,8300,2024-05-09,2024-05
Arizona,Dzire,Maruti,Sedan,White,Automatic,5,5,Diesel,2016,7400,2018-12-19,2018-12
New York,Seltos,Kia,Hatchback,Gray,Manual,5,5,Hybrid,2016,7800,2021-03-09,2021-03
Illinois,Seltos,Kia,Hatchback,Blue,Manual,5,5,Diesel,2020,6500,2021-10-11,2021-10
California,Seltos,Kia,Hatchback,Black,Manual,5,5,Petrol,2020,6400,2021-10-09,2021-10
Pennsylvania,Creta,Hyundai,Hatchback,Red,Manual,5,5,Petrol,2017,6700,2018-08-01,2018-08
Tennessee,Fortuner,Toyota,SUV,Black,Automatic,8,5,Hybrid,2023,8600,2023-03-09,2023-03
California,Creta,Hyundai,Hatchback,Black,Manual,5,5,Electric,2018,8100,2016-02-04,2016-02
Tennessee,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Hybrid,2024,8500,2024-01-06,2024-01
Michigan,Fortuner,Toyota,SUV,White,Manual,8,5,Electric,2021,9300,2018-09-25,2018-09
Oklahoma,Thar,Mahindra,SUV,Black,Manual,5,3,Hybrid,2018,9100,2023-09-28,2023-09
Michigan,Creta,Hyundai,Hatchback,Red,Manual,5,5,Diesel,2022,6300,2019-07-11,2019-07
California,Swift,Maruti,Sedan,Gray,Automatic,5,4,Petrol,2019,7000,2023-01-30,2023-01
Tennessee,Seltos,Kia,Hatchback,Blue,Automatic,5,5,Hybrid,2020,7400,2023-04-13,2023-04
Illinois,Thar,Mahindra,SUV,Blue,Automatic,5,3,Hybrid,2020,8900,2023-03-02,2023-03
Wisconsin,Hilux,Toyota,Truck,Gray,Automatic,4,2,Diesel,2017,7800,2021-08-28,2021-08
Texas,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Hybrid,2018,7600,2019-08-30,2019-08
Ohio,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2016,8300,2023-02-06,2023-02
Illinois,Seltos,Kia,Hatchback,Red,Automatic,5,5,Diesel,2020,6500,2021-01-05,2021-01
North Carolina,Swift,Maruti,Sedan,Red,Manual,5,4,Electric,2019,8500,2024-03-17,2024-03
Colorado,i20,Hyundai,Hatchback,Red,Automatic,4,5,Electric,2016,8300,2016-10-25,2016-10
New York,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Hybrid,2022,7200,2024-08-07,2024-08
Florida,Creta,Hyundai,Hatchback,Blue,Automatic,5,5,Petrol,2019,6500,2015-03-20,2015-03
Michigan,Thar,Mahindra,SUV,Blue,Automatic,5,3,Petrol,2017,8200,2021-01-27,2021-01
Ohio,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Petrol,2021,6800,2024-05-01,2024-05
California,Yodha,Tata,Truck,Black,Manual,3,2,Electric,2024,8500,2023-02-14,2023-02
California,Seltos,Kia,Hatchback,Blue,Manual,5,5,Electric,2017,8200,2023-04-02,2023-04
Utah,Scorpio,Mahindra,SUV,White,Manual,5,5,Diesel,2020,8000,2023-07-14,2023-07
Pennsylvania,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Electric,2017,9700,2017-12-17,2017-12
Florida,Swift,Maruti,Sedan,Red,Automatic,5,4,Diesel,2016,7400,2020-02-16,2020-02
Oregon,Yodha,Tata,Truck,Black,Manual,3,2,Hybrid,2016,8800,2021-04-30,2021-04
Oklahoma,Thar,Mahindra,SUV,Red,Automatic,5,3,Diesel,2023,7700,2021-06-02,2021-06
Colorado,Thar,Mahindra,SUV,Black,Manual,5,3,Hybrid,2018,9100,2019-04-18,2019-04
North Carolina,Scorpio,Mahindra,SUV,White,Manual,5,5,Diesel,2015,8500,2023-07-07,2023-07
Utah,Creta,Hyundai,Hatchback,Black,Automatic,5,5,Hybrid,2017,7700,2016-01-23,2016-01
Florida,Seltos,Kia,Hatchback,Blue,Automatic,5,5,Hybrid,2019,7500,2021-03-30,2021-03
Oregon,Etriga,Maruti,Hatchback,Red,Manual,4,5,Petrol,2020,6400,2015-05-18,2015-05
California,i20,Hyundai,Hatchback,Black,Manual,4,5,Hybrid,2020,7400,2018-12-17,2018-12
Oregon,Thar,Mahindra,SUV,Red,Manual,5,3,Petrol,2024,7500,2022-01-05,2022-01
Arizona,Kags,Renault,SUV,Red,Manual,7,5,Electric,2017,9700,2016-07-26,2016-07
Texas,Kags,Renault,SUV,Gray,Manual,7,5,Hybrid,2020,8900,2023-04-11,2023-04
North Carolina,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Hybrid,2020,7400,2015-08-03,2015-08
Utah,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Hybrid,2023,7100,2020-11-01,2020-11
Utah,Kags,Renault,SUV,White,Automatic,7,5,Electric,2019,9500,2021-08-11,2021-08
Pennsylvania,Thar,Mahindra,SUV,Red,Automatic,5,3,Petrol,2022,7700,2018-11-17,2018-11
California,Fortuner,Toyota,SUV,Black,Automatic,8,5,Hybrid,2023,8600,2016-10-21,2016-10
Florida,Kags,Renault,SUV,Black,Manual,7,5,Hybrid,2020,8900,2015-05-27,2015-05
Oklahoma,Yodha,Tata,Truck,Blue,Manual,3,2,Electric,2019,9000,2023-08-19,2023-08
California,Kags,Renault,SUV,Blue,Automatic,7,5,Hybrid,2018,9100,2019-02-05,2019-02
Ohio,Yodha,Tata,Truck,Black,Automatic,3,2,Petrol,2023,7100,2023-04-21,2023-04
Oregon,Hilux,Toyota,Truck,Black,Manual,4,2,Hybrid,2021,8300,2018-09-27,2018-09
New York,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Electric,2019,8000,2021-11-26,2021-11
Pennsylvania,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Hybrid,2015,7900,2021-10-24,2021-10
Florida,Plato,Prazo,Convertible,Blue,Manual,2,2,Hybrid,2020,9900,2021-04-30,2021-04
Ohio,Dzire,Maruti,Sedan,White,Manual,5,5,Electric,2018,8600,2022-07-02,2022-07
Michigan,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Petrol,2018,7100,2021-02-10,2021-02
California,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Hybrid,2024,7000,2022-04-09,2022-04
Tennessee,Thar,Mahindra,SUV,Blue,Automatic,5,3,Petrol,2020,7900,2016-09-13,2016-09
North Carolina,Yodha,Tata,Truck,Blue,Automatic,3,2,Petrol,2020,7400,2022-07-09,2022-07
Florida,Kags,Renault,SUV,Black,Automatic,7,5,Hybrid,2015,9400,2016-04-17,2016-04
North Carolina,Yodha,Tata,Truck,Red,Automatic,3,2,Petrol,2016,7800,2015-07-22,2015-07
California,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Diesel,2017,6800,2020-07-27,2020-07
Pennsylvania,Swift,Maruti,Sedan,Black,Manual,5,4,Hybrid,2016,8300,2023-08-24,2023-08
Utah,i20,Hyundai,Hatchback,Red,Manual,4,5,Hybrid,2019,7500,2022-06-08,2022-06
Pennsylvania,i20,Hyundai,Hatchback,Red,Automatic,4,5,Hybrid,2021,7300,2021-03-06,2021-03
Wisconsin,Hilux,Toyota,Truck,White,Manual,4,2,Hybrid,2021,8300,2019-02-22,2019-02
Ohio,i20,Hyundai,Hatchback,Gray,Automatic,4,5,Diesel,2020,6500,2023-02-06,2023-02
Utah,Scorpio,Mahindra,SUV,White,Manual,5,5,Electric,2023,9100,2017-04-11,2017-04
Tennessee,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Electric,2019,9500,2021-12-21,2021-12
Wisconsin,Hilux,Toyota,Truck,Gray,Automatic,4,2,Diesel,2017,7800,2015-12-03,2015-12
Arizona,Scorpio,Mahindra,SUV,White,Manual,5,5,Petrol,2019,8000,2022-12-23,2022-12
California,Creta,Hyundai,Hatchback,Red,Manual,5,5,Hybrid,2023,7100,2020-07-20,2020-07
California,Etriga,Maruti,Hatchback,Red,Manual,4,5,Hybrid,2021,7300,2023-04-15,2023-04
Michigan,i20,Hyundai,Hatchback,Red,Automatic,4,5,Electric,2020,7900,2019-12-10,2019-12
Tennessee,Yodha,Tata,Truck,Black,Manual,3,2,Petrol,2015,7900,2022-10-12,2022-10
Pennsylvania,Thar,Mahindra,SUV,Black,Automatic,5,3,Diesel,2015,8500,2017-11-27,2017-11
Wisconsin,Hilux,Toyota,Truck,Black,Automatic,4,2,Petrol,2017,7700,2024-08-08,2024-08
Pennsylvania,Swift,Maruti,Sedan,Gray,Manual,5,4,Petrol,2015,7400,2018-07-27,2018-07
Oregon,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Electric,2024,7500,2016-05-11,2016-05
North Carolina,Thar,Mahindra,SUV,White,Manual,5,3,Electric,2019,9500,2020-04-19,2020-04
Texas,Kags,Renault,SUV,Red,Automatic,7,5,Diesel,2019,8100,2018-09-05,2018-09
Illinois,Fortuner,Toyota,SUV,Red,Automatic,8,5,Hybrid,2018,9100,2021-01-19,2021-01
California,Dzire,Maruti,Sedan,Red,Automatic,5,5,Diesel,2020,7000,2022-02-24,2022-02
Utah,Plato,Prazo,Convertible,Blue,Automatic,2,2,Electric,2017,10700,2019-07-21,2019-07
Illinois,Dzire,Maruti,Sedan,Black,Automatic,5,5,Diesel,2020,7000,2016-09-13,2016-09
Utah,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Diesel,2022,7800,2019-02-11,2019-02
Texas,Creta,Hyundai,Hatchback,Black,Manual,5,5,Diesel,2016,6900,2021-10-16,2021-10
Oregon,Plato,Prazo,Convertible,Black,Manual,2,2,Electric,2021,10300,2018-07-05,2018-07
New York,Swift,Maruti,Sedan,Gray,Manual,5,4,Diesel,2022,6800,2020-12-12,2020-12
Ohio,Thar,Mahindra,SUV,Blue,Automatic,5,3,Diesel,2023,7700,2022-01-22,2022-01
Illinois,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Diesel,2016,7400,2015-06-12,2015-06
Florida,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2017,8200,2020-09-14,2020-09
California,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Hybrid,2024,7000,2024-04-13,2024-04
North Carolina,Seltos,Kia,Hatchback,White,Automatic,5,5,Hybrid,2019,7500,2023-05-05,2023-05
Michigan,Yodha,Tata,Truck,Gray,Automatic,3,2,Petrol,2016,7800,2023-10-20,2023-10
Colorado,Fortuner,Toyota,SUV,Black,Automatic,8,5,Hybrid,2016,9300,2016-12-19,2016-12
Wisconsin,Plato,Prazo,Convertible,Gray,Automatic,2,2,Hybrid,2018,10100,2016-02-01,2016-02
Wisconsin,Seltos,Kia,Hatchback,Red,Automatic,5,5,Diesel,2018,6700,2024-12-04,2024-12
North Carolina,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2024,7600,2024-10-23,2024-10
California,Plato,Prazo,Convertible,Red,Automatic,2,2,Hybrid,2017,10200,2018-06-05,2018-06
Utah,Yodha,Tata,Truck,Gray,Automatic,3,2,Diesel,2017,7800,2017-09-22,2017-09
Illinois,Plato,Prazo,Convertible,Red,Manual,2,2,Hybrid,2018,10100,2020-05-20,2020-05
New York,Swift,Maruti,Sedan,Black,Manual,5,4,Electric,2019,8500,2024-11-14,2024-11
Oregon,Scorpio,Mahindra,SUV,White,Automatic,5,5,Petrol,2018,8100,2022-10-18,2022-10
Oklahoma,Swift,Maruti,Sedan,Red,Automatic,5,4,Diesel,2016,7400,2020-05-07,2020-05
Illinois,Hilux,Toyota,Truck,Gray,Automatic,4,2,Petrol,2015,7900,2021-07-17,2021-07
New York,Thar,Mahindra,SUV,Black,Manual,5,3,Petrol,2023,7600,2015-05-19,2015-05
Illinois,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Diesel,2015,8500,2019-08-17,2019-08
Florida,Seltos,Kia,Hatchback,Black,Manual,5,5,Petrol,2020,6400,2020-06-08,2020-06
Ohio,Seltos,Kia,Hatchback,Red,Manual,5,5,Petrol,2023,6100,2015-06-13,2015-06
Oregon,Fortuner,Toyota,SUV,Red,Automatic,8,5,Diesel,2024,7600,2019-11-20,2019-11
California,Yodha,Tata,Truck,Red,Automatic,3,2,Electric,2019,9000,2024-06-17,2024-06
Michigan,Scorpio,Mahindra,SUV,White,Manual,5,5,Diesel,2020,8000,2021-12-15,2021-12
Wisconsin,Etriga,Maruti,Hatchback,Red,Manual,4,5,Diesel,2023,6200,2021-06-21,2021-06
Utah,Yodha,Tata,Truck,Red,Automatic,3,2,Hybrid,2024,8000,2023-06-22,2023-06
Pennsylvania,i20,Hyundai,Hatchback,Red,Automatic,4,5,Hybrid,2015,7900,2018-12-15,2018-12
Tennessee,Kags,Renault,SUV,Gray,Automatic,7,5,Electric,2015,9900,2020-03-11,2020-03
Michigan,Hilux,Toyota,Truck,White,Automatic,4,2,Hybrid,2018,8600,2021-08-27,2021-08
Oregon,Yodha,Tata,Truck,White,Automatic,3,2,Diesel,2020,7500,2024-01-27,2024-01
Florida,i20,Hyundai,Hatchback,Red,Manual,4,5,Diesel,2018,6700,2024-07-13,2024-07
Pennsylvania,Fortuner,Toyota,SUV,Gray,Manual,8,5,Diesel,2022,7800,2018-10-07,2018-10
Oregon,Dzire,Maruti,Sedan,Black,Automatic,5,5,Hybrid,2017,8200,2020-12-18,2020-12
Tennessee,Plato,Prazo,Convertible,Gray,Manual,2,2,Petrol,2018,9100,2015-11-18,2015-11
Texas,Seltos,Kia,Hatchback,Black,Manual,5,5,Diesel,2024,6100,2015-03-23,2015-03
New York,Seltos,Kia,Hatchback,White,Automatic,5,5,Diesel,2023,6200,2016-07-31,2016-07
Michigan,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Hybrid,2020,8900,2022-03-25,2022-03
North Carolina,Thar,Mahindra,SUV,Red,Manual,5,3,Electric,2022,9200,2021-05-14,2021-05
New York,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Electric,2020,7900,2021-09-17,2021-09
Ohio,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Electric,2020,7900,2021-07-12,2021-07
Pennsylvania,Fortuner,Toyota,SUV,Red,Automatic,8,5,Diesel,2016,8400,2016-09-20,2016-09
Arizona,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Electric,2024,9000,2015-08-23,2015-08
North Carolina,Creta,Hyundai,Hatchback,Black,Manual,5,5,Hybrid,2019,7500,2021-04-25,2021-04
Tennessee,Hilux,Toyota,Truck,Blue,Automatic,4,2,Electric,2016,9300,2024-08-02,2024-08
California,Fortuner,Toyota,SUV,White,Automatic,8,5,Electric,2015,9900,2018-01-31,2018-01
Tennessee,Etriga,Maruti,Hatchback,Gray,Automatic,4,5,Hybrid,2022,7200,2016-05-28,2016-05
Oregon,Hilux,Toyota,Truck,White,Automatic,4,2,Electric,2023,8600,2024-06-17,2024-06
New York,Seltos,Kia,Hatchback,Gray,Automatic,5,5,Petrol,2021,6300,2020-08-06,2020-08
Ohio,i20,Hyundai,Hatchback,Red,Manual,4,5,Petrol,2019,6500,2021-02-23,2021-02
North Carolina,Plato,Prazo,Convertible,Gray,Automatic,2,2,Electric,2020,10400,2024-12-30,2024-12
Florida,Etriga,Maruti,Hatchback,Black,Manual,4,5,Petrol,2018,6600,2022-07-15,2022-07
Wisconsin,i20,Hyundai,Hatchback,Gray,Manual,4,5,Electric,2020,7900,2023-07-24,2023-07
Colorado,Dzire,Maruti,Sedan,Black,Manual,5,5,Petrol,2019,7000,2020-06-09,2020-06
Oregon,Fortuner,Toyota,SUV,White,Manual,8,5,Electric,2016,9800,2020-08-03,2020-08
New York,Dzire,Maruti,Sedan,Gray,Automatic,5,5,Petrol,2017,7200,2022-03-29,2022-03
North Carolina,Yodha,Tata,Truck,White,Automatic,3,2,Diesel,2017,7800,2024-09-10,2024-09
California,Yodha,Tata,Truck,Blue,Automatic,3,2,Electric,2020,8900,2023-02-08,2023-02
California,i20,Hyundai,Hatchback,Gray,Automatic,4,5,Petrol,2023,6100,2016-08-31,2016-08
Oregon,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Petrol,2015,8400,2021-11-03,2021-11
California,Yodha,Tata,Truck,Black,Manual,3,2,Petrol,2017,7700,2022-04-28,2022-04
Colorado,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Electric,2020,7900,2022-08-28,2022-08
Utah,Thar,Mahindra,SUV,Blue,Automatic,5,3,Electric,2017,9700,2017-01-13,2017-01
North Carolina,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Petrol,2019,6500,2021-02-18,2021-02
California,Plato,Prazo,Convertible,Gray,Manual,2,2,Electric,2018,10600,2022-11-22,2022-11
North Carolina,Swift,Maruti,Sedan,Red,Automatic,5,4,Electric,2018,8600,2016-10-05,2016-10
Michigan,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Hybrid,2020,8900,2021-07-02,2021-07
Oklahoma,Creta,Hyundai,Hatchback,Red,Manual,5,5,Hybrid,2017,7700,2017-05-23,2017-05
New York,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Hybrid,2016,7800,2016-05-22,2016-05
Oregon,Kags,Renault,SUV,Black,Manual,7,5,Petrol,2019,8000,2023-12-27,2023-12
Michigan,Hilux,Toyota,Truck,Gray,Manual,4,2,Diesel,2023,7200,2018-02-27,2018-02
Wisconsin,Thar,Mahindra,SUV,Black,Automatic,5,3,Hybrid,2019,9000,2016-01-14,2016-01
