Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Tennessee;Seltos;Kia;Hatchback;Black;Automatic;5;5;Electric;2016;8300;2021-04-06;2021-04
Chicago;Plato;Prazo;Convertible;Blue;Manual;2;2;Diesel;2019;9100;2018-07-30;2018-07
Oklahoma;Fortuner;Toyota;SUV;Blue;Automatic;8;5;Electric;2016;9800;2023-05-08;2023-05
San Jose;Dzire;Maruti;Sedan;Black;Automatic;5;5;Diesel;2015;7500;2019-11-03;2019-11
North Carolina;Kags;Renault;SUV;Red;Automatic;7;5;Diesel;2017;8300;2020-04-14;2020-04
Portland;Thar;Mahindra;SUV;Gray;Automatic;5;3;Electric;2019;9500;2016-04-25;2016-04
Florida;Creta;Hyundai;Hatchback;Red;Manual;5;5;Diesel;2024;6100;2019-12-08;2019-12
North Carolina;Fortuner;Toyota;SUV;Gray;Manual;8;5;Electric;2015;9900;2016-11-07;2016-11
California;Swift;Maruti;Sedan;Red;Automatic;5;4;Petrol;2024;6500;2021-03-09;2021-03
California;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Diesel;2022;6300;2024-07-14;2024-07
Detroit;Fortuner;Toyota;SUV;Black;Manual;8;5;Diesel;2016;8400;2023-06-18;2023-06
California;Dzire;Maruti;Sedan;Gray;Automatic;5;5;Diesel;2022;6800;2018-06-20;2018-06
Chicago;Swift;Maruti;Sedan;White;Automatic;5;4;Hybrid;2021;7800;2018-04-01;2018-04
San Jose;i20;Hyundai;Hatchback;Gray;Manual;4;5;Electric;2023;7600;2015-10-20;2015-10
North Carolina;Dzire;Maruti;Sedan;Red;Automatic;5;5;Petrol;2021;6800;2016-01-26;2016-01
Portland;Hilux;Toyota;Truck;Black;Automatic;4;2;Hybrid;2023;8100;2020-12-25;2020-12
Denver;i20;Hyundai;Hatchback;Black;Automatic;4;5;Hybrid;2022;7200;2020-05-11;2020-05
North Carolina;Plato;Prazo;Convertible;Blue;Automatic;2;2;Hybrid;2018;10100;2023-04-12;2023-04
Columbus;Etriga;Maruti;Hatchback;Black;Manual;4;5;Petrol;2017;6700;2020-12-29;2020-12
Texas;Kags;Renault;SUV;Blue;Manual;7;5;Petrol;2024;7500;2018-05-14;2018-05
Texas;Scorpio;Mahindra;SUV;Black;Automatic;5;5;Hybrid;2021;8800;2018-02-24;2018-02
Florida;Kags;Renault;SUV;Red;Manual;7;5;Electric;2023;9100;2019-07-26;2019-07
Texas;Kags;Renault;SUV;White;Manual;7;5;Electric;2022;9200;2023-05-10;2023-05
Tennessee;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Hybrid;2016;7800;2015-07-14;2015-07
North Carolina;Plato;Prazo;Convertible;White;Automatic;2;2;Hybrid;2016;10300;2016-05-21;2016-05
Madison;Creta;Hyundai;Hatchback;Blue;Automatic;5;5;Petrol;2020;6400;2022-09-25;2022-09
Florida;Scorpio;Mahindra;SUV;Blue;Automatic;5;5;Hybrid;2022;8700;2019-07-09;2019-07
North Carolina;Fortuner;Toyota;SUV;Black;Manual;8;5;Electric;2016;9800;2016-12-14;2016-12
Columbus;Kags;Renault;SUV;Blue;Manual;7;5;Electric;2019;9500;2020-02-20;2020-02
Tennessee;i20;Hyundai;Hatchback;Black;Automatic;4;5;Electric;2023;7600;2016-03-27;2016-03
North Carolina;Yodha;Tata;Truck;Red;Automatic;3;2;Diesel;2019;7600;2022-08-30;2022-08
Portland;Yodha;Tata;Truck;Red;Manual;3;2;Electric;2018;9100;2023-06-30;2023-06
Tennessee;Etriga;Maruti;Hatchback;Gray;Manual;4;5;Diesel;2021;6400;2017-10-21;2017-10
Portland;Plato;Prazo;Convertible;Red;Automatic;2;2;Diesel;2016;9400;2017-02-10;2017-02
Utah;Fortuner;Toyota;SUV;Gray;Manual;8;5;Diesel;2017;8300;2016-09-06;2016-09
Tennessee;Plato;Prazo;Convertible;Gray;Manual;2;2;Petrol;2015;9400;2017-05-04;2017-05
California;Hilux;Toyota;Truck;Red;Automatic;4;2;Petrol;2017;7700;2021-10-21;2021-10
Madison;Kags;Renault;SUV;Black;Manual;7;5;Diesel;2021;7900;2019-04-07;2019-04
Detroit;Etriga;Maruti;Hatchback;Red;Manual;4;5;Hybrid;2018;7600;2016-05-23;2016-05
Tennessee;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Electric;2018;8100;2016-07-03;2016-07
Philadelphia;Creta;Hyundai;Hatchback;White;Manual;5;5;Hybrid;2015;7900;2023-11-10;2023-11
North Carolina;Thar;Mahindra;SUV;White;Automatic;5;3;Diesel;2022;7800;2024-06-19;2024-06
Philadelphia;i20;Hyundai;Hatchback;Gray;Automatic;4;5;Petrol;2015;6900;2020-06-01;2020-06
Tennessee;Scorpio;Mahindra;SUV;White;Manual;5;5;Electric;2020;9400;2020-06-14;2020-06
Oklahoma;Scorpio;Mahindra;SUV;Gray;Automatic;5;5;Hybrid;2018;9100;2019-11-03;2019-11
Tennessee;Yodha;Tata;Truck;Blue;Manual;3;2;Electric;2024;8500;2020-03-02;2020-03
Columbus;Plato;Prazo;Convertible;Red;Manual;2;2;Diesel;2018;9200;2018-08-17;2018-08
Chicago;Plato;Prazo;Convertible;White;Automatic;2;2;Petrol;2018;9100;2022-11-02;2022-11
Oklahoma;Scorpio;Mahindra;SUV;Black;Automatic;5;5;Diesel;2015;8500;2019-11-12;2019-11
Detroit;Thar;Mahindra;SUV;Gray;Manual;5;3;Electric;2020;9400;2019-11-16;2019-11
Utah;i20;Hyundai;Hatchback;Red;Automatic;4;5;Petrol;2019;6500;2020-08-07;2020-08
Chicago;Creta;Hyundai;Hatchback;Black;Manual;5;5;Petrol;2022;6200;2023-04-24;2023-04
Detroit;Fortuner;Toyota;SUV;Gray;Automatic;8;5;Petrol;2024;7500;2023-04-23;2023-04
North Carolina;Seltos;Kia;Hatchback;Red;Automatic;5;5;Electric;2021;7800;2022-03-23;2022-03
North Carolina;Kags;Renault;SUV;Blue;Manual;7;5;Hybrid;2021;8800;2019-02-16;2019-02
Detroit;Kags;Renault;SUV;Blue;Automatic;7;5;Hybrid;2019;9000;2019-08-28;2019-08
Madison;Scorpio;Mahindra;SUV;Black;Automatic;5;5;Petrol;2016;8300;2015-12-31;2015-12
Madison;Seltos;Kia;Hatchback;Black;Manual;5;5;Hybrid;2023;7100;2023-10-01;2023-10
Chicago;Etriga;Maruti;Hatchback;Blue;Manual;4;5;Hybrid;2023;7100;2017-07-11;2017-07
Portland;Creta;Hyundai;Hatchback;Black;Automatic;5;5;Petrol;2020;6400;2021-04-08;2021-04
Tennessee;Etriga;Maruti;Hatchback;Red;Manual;4;5;Electric;2023;7600;2023-01-26;2023-01
Tennessee;Fortuner;Toyota;SUV;Blue;Manual;8;5;Hybrid;2023;8600;2020-06-29;2020-06
Chicago;Hilux;Toyota;Truck;Black;Manual;4;2;Diesel;2018;7700;2021-10-01;2021-10
Utah;Yodha;Tata;Truck;Red;Automatic;3;2;Petrol;2017;7700;2019-10-19;2019-10
North Carolina;Plato;Prazo;Convertible;Black;Manual;2;2;Electric;2020;10400;2023-04-24;2023-04
Philadelphia;i20;Hyundai;Hatchback;White;Manual;4;5;Electric;2015;8400;2016-12-17;2016-12
Oklahoma;Seltos;Kia;Hatchback;Black;Automatic;5;5;Petrol;2024;6000;2015-10-24;2015-10
Columbus;Yodha;Tata;Truck;Gray;Automatic;3;2;Hybrid;2022;8200;2018-09-02;2018-09
Utah;Creta;Hyundai;Hatchback;Gray;Manual;5;5;Petrol;2019;6500;2023-03-29;2023-03
Madison;Creta;Hyundai;Hatchback;Blue;Automatic;5;5;Electric;2018;8100;2022-09-02;2022-09
Utah;Fortuner;Toyota;SUV;Red;Manual;8;5;Electric;2024;9000;2016-03-18;2016-03
Denver;Etriga;Maruti;Hatchback;Red;Manual;4;5;Hybrid;2020;7400;2018-07-24;2018-07
Tucson;Yodha;Tata;Truck;Blue;Automatic;3;2;Diesel;2017;7800;2015-07-18;2015-07
Detroit;Swift;Maruti;Sedan;Red;Manual;5;4;Petrol;2015;7400;2020-09-17;2020-09
California;Dzire;Maruti;Sedan;Gray;Manual;5;5;Diesel;2016;7400;2020-11-08;2020-11
California;Hilux;Toyota;Truck;White;Manual;4;2;Electric;2021;8800;2022-09-24;2022-09
Philadelphia;Yodha;Tata;Truck;Gray;Automatic;3;2;Diesel;2021;7400;2022-09-29;2022-09
Tucson;Dzire;Maruti;Sedan;Black;Manual;5;5;Electric;2022;8200;2024-02-17;2024-02
Tennessee;Yodha;Tata;Truck;Red;Manual;3;2;Hybrid;2018;8600;2022-04-25;2022-04
North Carolina;Dzire;Maruti;Sedan;Blue;Automatic;5;5;Petrol;2019;7000;2024-12-05;2024-12
New York;Swift;Maruti;Sedan;Black;Manual;5;4;Petrol;2020;6900;2016-12-13;2016-12
Philadelphia;Kags;Renault;SUV;Red;Automatic;7;5;Petrol;2021;7800;2015-11-09;2015-11
Portland;Kags;Renault;SUV;Blue;Automatic;7;5;Electric;2023;9100;2021-12-06;2021-12
Philadelphia;Fortuner;Toyota;SUV;Black;Automatic;8;5;Petrol;2017;8200;2018-09-23;2018-09
California;Thar;Mahindra;SUV;Red;Manual;5;3;Petrol;2021;7800;2023-08-28;2023-08
Chicago;Creta;Hyundai;Hatchback;Black;Manual;5;5;Hybrid;2016;7800;2016-07-03;2016-07
North Carolina;Kags;Renault;SUV;Blue;Manual;7;5;Electric;2022;9200;2017-07-26;2017-07
Detroit;Creta;Hyundai;Hatchback;Black;Automatic;5;5;Petrol;2023;6100;2022-03-24;2022-03
San Jose;Yodha;Tata;Truck;White;Automatic;3;2;Petrol;2023;7100;2017-06-18;2017-06
Oklahoma;Thar;Mahindra;SUV;Black;Automatic;5;3;Hybrid;2021;8800;2019-08-29;2019-08
Florida;i20;Hyundai;Hatchback;Black;Manual;4;5;Petrol;2015;6900;2017-07-26;2017-07
Texas;Swift;Maruti;Sedan;White;Automatic;5;4;Electric;2020;8400;2022-07-12;2022-07
Tucson;Creta;Hyundai;Hatchback;Red;Automatic;5;5;Electric;2022;7700;2024-09-05;2024-09
Chicago;Swift;Maruti;Sedan;Black;Manual;5;4;Hybrid;2015;8400;2024-07-20;2024-07
Denver;Hilux;Toyota;Truck;Blue;Automatic;4;2;Electric;2019;9000;2023-02-15;2023-02
Texas;Fortuner;Toyota;SUV;Gray;Manual;8;5;Hybrid;2024;8500;2021-05-12;2021-05
New York;i20;Hyundai;Hatchback;Black;Manual;4;5;Petrol;2020;6400;2022-09-08;2022-09
Detroit;Kags;Renault;SUV;Red;Automatic;7;5;Diesel;2020;8000;2023-12-30;2023-12
Chicago;Kags;Renault;SUV;Black;Manual;7;5;Electric;2015;9900;2017-04-17;2017-04
Portland;Thar;Mahindra;SUV;White;Automatic;5;3;Electric;2020;9400;2015-11-12;2015-11
Florida;Scorpio;Mahindra;SUV;White;Manual;5;5;Petrol;2015;8400;2023-11-20;2023-11
Texas;Swift;Maruti;Sedan;Blue;Manual;5;4;Petrol;2015;7400;2020-05-09;2020-05
San Jose;Creta;Hyundai;Hatchback;Gray;Manual;5;5;Hybrid;2018;7600;2024-10-06;2024-10
North Carolina;Scorpio;Mahindra;SUV;Gray;Automatic;5;5;Electric;2017;9700;2024-03-20;2024-03
San Jose;i20;Hyundai;Hatchback;Blue;Manual;4;5;Petrol;2021;6300;2020-07-10;2020-07
Texas;Etriga;Maruti;Hatchback;Black;Manual;4;5;Hybrid;2023;7100;2023-06-22;2023-06
Portland;Yodha;Tata;Truck;Red;Manual;3;2;Petrol;2022;7200;2024-02-18;2024-02
San Jose;Kags;Renault;SUV;Black;Manual;7;5;Electric;2021;9300;2023-07-23;2023-07
North Carolina;Scorpio;Mahindra;SUV;Blue;Automatic;5;5;Diesel;2018;8200;2021-03-07;2021-03
Madison;Hilux;Toyota;Truck;Black;Manual;4;2;Petrol;2023;7100;2016-02-18;2016-02
North Carolina;Etriga;Maruti;Hatchback;Blue;Manual;4;5;Electric;2022;7700;2023-06-27;2023-06
Detroit;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Diesel;2020;6500;2017-03-16;2017-03
North Carolina;i20;Hyundai;Hatchback;Blue;Manual;4;5;Petrol;2022;6200;2024-02-08;2024-02
Tennessee;Fortuner;Toyota;SUV;White;Automatic;8;5;Electric;2023;9100;2022-11-24;2022-11
Denver;Yodha;Tata;Truck;Red;Automatic;3;2;Petrol;2016;7800;2023-09-05;2023-09
Philadelphia;Hilux;Toyota;Truck;Blue;Automatic;4;2;Petrol;2021;7300;2016-06-20;2016-06
Texas;Swift;Maruti;Sedan;Gray;Manual;5;4;Diesel;2016;7400;2020-07-21;2020-07
Madison;Creta;Hyundai;Hatchback;Red;Automatic;5;5;Petrol;2017;6700;2024-07-21;2024-07
Denver;Hilux;Toyota;Truck;Black;Automatic;4;2;Petrol;2023;7100;2022-05-28;2022-05
Tennessee;Creta;Hyundai;Hatchback;Red;Automatic;5;5;Petrol;2024;6000;2020-09-23;2020-09
North Carolina;Yodha;Tata;Truck;Blue;Automatic;3;2;Petrol;2018;7600;2016-08-27;2016-08
New York;Seltos;Kia;Hatchback;Blue;Automatic;5;5;Electric;2017;8200;2017-07-13;2017-07
Texas;Etriga;Maruti;Hatchback;Black;Manual;4;5;Diesel;2021;6400;2021-08-05;2021-08
Portland;Hilux;Toyota;Truck;Blue;Automatic;4;2;Hybrid;2017;8700;2018-04-25;2018-04
Denver;Scorpio;Mahindra;SUV;Gray;Automatic;5;5;Diesel;2024;7600;2021-10-26;2021-10
New York;Dzire;Maruti;Sedan;Red;Manual;5;5;Petrol;2020;6900;2021-08-15;2021-08
Columbus;Swift;Maruti;Sedan;Blue;Automatic;5;4;Petrol;2024;6500;2019-08-23;2019-08
California;Kags;Renault;SUV;Red;Automatic;7;5;Petrol;2023;7600;2023-01-15;2023-01
Denver;Thar;Mahindra;SUV;Black;Automatic;5;3;Diesel;2020;8000;2024-11-29;2024-11
New York;Creta;Hyundai;Hatchback;Red;Automatic;5;5;Electric;2016;8300;2024-09-09;2024-09
San Jose;Swift;Maruti;Sedan;Blue;Manual;5;4;Diesel;2019;7100;2018-07-09;2018-07
New York;Plato;Prazo;Convertible;Blue;Manual;2;2;Diesel;2023;8700;2023-07-23;2023-07
North Carolina;Etriga;Maruti;Hatchback;Blue;Manual;4;5;Diesel;2024;6100;2021-03-10;2021-03
Madison;Fortuner;Toyota;SUV;Black;Automatic;8;5;Electric;2021;9300;2015-02-17;2015-02
Texas;Kags;Renault;SUV;White;Automatic;7;5;Electric;2016;9800;2018-02-12;2018-02
Portland;Thar;Mahindra;SUV;Red;Manual;5;3;Petrol;2020;7900;2022-09-10;2022-09
Tennessee;Yodha;Tata;Truck;Blue;Automatic;3;2;Hybrid;2024;8000;2023-07-18;2023-07
Tennessee;Dzire;Maruti;Sedan;Gray;Manual;5;5;Hybrid;2019;8000;2015-01-29;2015-01
Utah;Creta;Hyundai;Hatchback;Black;Automatic;5;5;Electric;2018;8100;2017-01-31;2017-01
Chicago;Scorpio;Mahindra;SUV;Red;Manual;5;5;Hybrid;2016;9300;2024-11-19;2024-11
North Carolina;i20;Hyundai;Hatchback;Blue;Manual;4;5;Diesel;2024;6100;2017-06-03;2017-06
California;Etriga;Maruti;Hatchback;Blue;Manual;4;5;Hybrid;2019;7500;2018-03-02;2018-03
Utah;Dzire;Maruti;Sedan;White;Automatic;5;5;Petrol;2019;7000;2019-01-23;2019-01
Philadelphia;Yodha;Tata;Truck;White;Automatic;3;2;Petrol;2024;7000;2020-12-19;2020-12
Denver;Creta;Hyundai;Hatchback;Black;Automatic;5;5;Diesel;2018;6700;2015-03-15;2015-03
Denver;Hilux;Toyota;Truck;Gray;Manual;4;2;Petrol;2016;7800;2024-01-10;2024-01
San Jose;Fortuner;Toyota;SUV;Red;Automatic;8;5;Hybrid;2021;8800;2022-05-12;2022-05
Oklahoma;Swift;Maruti;Sedan;White;Manual;5;4;Electric;2016;8800;2022-01-29;2022-01
Tennessee;Fortuner;Toyota;SUV;Blue;Manual;8;5;Diesel;2017;8300;2016-07-10;2016-07
New York;Plato;Prazo;Convertible;Black;Automatic;2;2;Petrol;2018;9100;2016-10-01;2016-10
Philadelphia;Seltos;Kia;Hatchback;White;Manual;5;5;Petrol;2024;6000;2020-10-04;2020-10
Detroit;Hilux;Toyota;Truck;Gray;Manual;4;2;Electric;2023;8600;2016-03-26;2016-03
Denver;Creta;Hyundai;Hatchback;Black;Manual;5;5;Petrol;2020;6400;2015-12-11;2015-12
Madison;Yodha;Tata;Truck;Blue;Automatic;3;2;Hybrid;2022;8200;2019-03-18;2019-03
Detroit;Plato;Prazo;Convertible;Blue;Automatic;2;2;Diesel;2021;8900;2015-04-13;2015-04
Utah;Hilux;Toyota;Truck;Gray;Manual;4;2;Hybrid;2018;8600;2017-02-14;2017-02
Chicago;Creta;Hyundai;Hatchback;Red;Automatic;5;5;Petrol;2020;6400;2018-05-18;2018-05
Philadelphia;Yodha;Tata;Truck;Gray;Manual;3;2;Diesel;2020;7500;2019-04-07;2019-04
San Jose;Fortuner;Toyota;SUV;Blue;Manual;8;5;Hybrid;2018;9100;2024-08-03;2024-08
Madison;Yodha;Tata;Truck;Black;Manual;3;2;Petrol;2019;7500;2018-02-05;2018-02
Philadelphia;Yodha;Tata;Truck;Black;Automatic;3;2;Hybrid;2017;8700;2018-08-03;2018-08
Utah;Thar;Mahindra;SUV;Red;Manual;5;3;Petrol;2023;7600;2023-06-24;2023-06
San Jose;Hilux;Toyota;Truck;Blue;Automatic;4;2;Diesel;2023;7200;2018-09-12;2018-09
Detroit;Kags;Renault;SUV;Blue;Manual;7;5;Electric;2018;9600;2016-05-30;2016-05
Detroit;i20;Hyundai;Hatchback;Red;Manual;4;5;Petrol;2023;6100;2017-11-04;2017-11
Madison;Plato;Prazo;Convertible;White;Automatic;2;2;Hybrid;2019;10000;2021-05-02;2021-05
Denver;Thar;Mahindra;SUV;Blue;Automatic;5;3;Diesel;2021;7900;2024-08-19;2024-08
Madison;i20;Hyundai;Hatchback;Gray;Automatic;4;5;Hybrid;2020;7400;2018-11-22;2018-11
Chicago;Kags;Renault;SUV;Black;Automatic;7;5;Hybrid;2020;8900;2016-05-18;2016-05
Chicago;Kags;Renault;SUV;Black;Automatic;7;5;Petrol;2016;8300;2015-03-23;2015-03
Tucson;Swift;Maruti;Sedan;Gray;Automatic;5;4;Hybrid;2018;8100;2020-04-01;2020-04
Philadelphia;Swift;Maruti;Sedan;Red;Manual;5;4;Petrol;2016;7300;2024-12-23;2024-12
Portland;Etriga;Maruti;Hatchback;Blue;Manual;4;5;Petrol;2017;6700;2015-05-08;2015-05
New York;Yodha;Tata;Truck;Black;Manual;3;2;Diesel;2024;7100;2016-10-20;2016-10
Detroit;Swift;Maruti;Sedan;Blue;Manual;5;4;Diesel;2017;7300;2016-04-21;2016-04
Florida;Swift;Maruti;Sedan;Black;Automatic;5;4;Petrol;2024;6500;2015-03-12;2015-03
Utah;Seltos;Kia;Hatchback;White;Automatic;5;5;Petrol;2023;6100;2023-08-24;2023-08
Tucson;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Diesel;2016;6900;2020-11-16;2020-11
Chicago;Plato;Prazo;Convertible;Blue;Manual;2;2;Petrol;2022;8700;2024-01-26;2024-01
Chicago;Swift;Maruti;Sedan;Black;Manual;5;4;Electric;2019;8500;2019-01-23;2019-01
Oklahoma;i20;Hyundai;Hatchback;Black;Automatic;4;5;Diesel;2015;7000;2022-03-15;2022-03
Denver;Kags;Renault;SUV;Red;Manual;7;5;Hybrid;2019;9000;2017-10-27;2017-10
California;i20;Hyundai;Hatchback;Red;Manual;4;5;Petrol;2021;6300;2016-02-05;2016-02
Chicago;Fortuner;Toyota;SUV;Blue;Manual;8;5;Diesel;2018;8200;2023-01-29;2023-01
North Carolina;Plato;Prazo;Convertible;Blue;Automatic;2;2;Electric;2015;10900;2016-02-25;2016-02
New York;i20;Hyundai;Hatchback;Red;Manual;4;5;Petrol;2016;6800;2021-03-08;2021-03
San Jose;Plato;Prazo;Convertible;Red;Manual;2;2;Hybrid;2020;9900;2015-12-06;2015-12
Florida;i20;Hyundai;Hatchback;Black;Automatic;4;5;Hybrid;2015;7900;2021-02-02;2021-02
North Carolina;Etriga;Maruti;Hatchback;Blue;Automatic;4;5;Petrol;2022;6200;2020-02-21;2020-02
North Carolina;Thar;Mahindra;SUV;Red;Manual;5;3;Diesel;2018;8200;2022-12-24;2022-12
Florida;i20;Hyundai;Hatchback;Gray;Automatic;4;5;Petrol;2022;6200;2015-05-24;2015-05
Detroit;i20;Hyundai;Hatchback;Blue;Manual;4;5;Hybrid;2019;7500;2020-01-09;2020-01
Texas;Dzire;Maruti;Sedan;White;Manual;5;5;Electric;2021;8300;2018-03-28;2018-03
Oklahoma;Etriga;Maruti;Hatchback;Black;Manual;4;5;Hybrid;2016;7800;2016-10-09;2016-10
New York;Seltos;Kia;Hatchback;Black;Manual;5;5;Diesel;2024;6100;2024-09-20;2024-09
Detroit;Thar;Mahindra;SUV;Red;Manual;5;3;Hybrid;2020;8900;2023-07-06;2023-07
Detroit;Creta;Hyundai;Hatchback;Black;Automatic;5;5;Petrol;2024;6000;2024-02-24;2024-02
Denver;i20;Hyundai;Hatchback;Black;Automatic;4;5;Hybrid;2022;7200;2018-06-30;2018-06
Philadelphia;Hilux;Toyota;Truck;Black;Manual;4;2;Electric;2016;9300;2015-07-22;2015-07
Tucson;Scorpio;Mahindra;SUV;Black;Automatic;5;5;Diesel;2017;8300;2019-06-07;2019-06
California;Hilux;Toyota;Truck;Gray;Manual;4;2;Petrol;2022;7200;2024-01-25;2024-01
Oklahoma;Yodha;Tata;Truck;Red;Manual;3;2;Hybrid;2015;8900;2019-04-26;2019-04
Tennessee;Thar;Mahindra;SUV;White;Automatic;5;3;Hybrid;2019;9000;2017-11-27;2017-11
Philadelphia;Creta;Hyundai;Hatchback;Blue;Automatic;5;5;Electric;2018;8100;2017-03-03;2017-03
Texas;Fortuner;Toyota;SUV;Red;Manual;8;5;Electric;2018;9600;2022-06-25;2022-06
Denver;Plato;Prazo;Convertible;Blue;Manual;2;2;Petrol;2018;9100;2021-06-17;2021-06
North Carolina;Kags;Renault;SUV;Black;Automatic;7;5;Petrol;2021;7800;2022-06-02;2022-06
Tucson;Creta;Hyundai;Hatchback;Gray;Manual;5;5;Petrol;2022;6200;2019-03-25;2019-03
San Jose;Kags;Renault;SUV;Blue;Automatic;7;5;Hybrid;2020;8900;2018-10-30;2018-10
Utah;i20;Hyundai;Hatchback;White;Automatic;4;5;Hybrid;2019;7500;2022-01-14;2022-01
Denver;i20;Hyundai;Hatchback;White;Manual;4;5;Petrol;2023;6100;2020-01-01;2020-01
North Carolina;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Diesel;2015;7000;2022-10-23;2022-10
North Carolina;Hilux;Toyota;Truck;Blue;Manual;4;2;Diesel;2016;7900;2015-03-01;2015-03
New York;Swift;Maruti;Sedan;Gray;Manual;5;4;Petrol;2018;7100;2016-11-16;2016-11
Portland;Kags;Renault;SUV;Gray;Automatic;7;5;Diesel;2021;7900;2022-02-07;2022-02
Portland;Hilux;Toyota;Truck;Red;Manual;4;2;Petrol;2022;7200;2022-09-30;2022-09
North Carolina;Kags;Renault;SUV;Gray;Automatic;7;5;Petrol;2017;8200;2020-09-30;2020-09
Detroit;Plato;Prazo;Convertible;Red;Automatic;2;2;Diesel;2021;8900;2017-03-13;2017-03
Tennessee;Fortuner;Toyota;SUV;Gray;Automatic;8;5;Electric;2024;9000;2015-04-04;2015-04
Detroit;Fortuner;Toyota;SUV;White;Manual;8;5;Hybrid;2016;9300;2019-04-26;2019-04
Utah;Swift;Maruti;Sedan;White;Manual;5;4;Electric;2021;8300;2022-02-27;2022-02
Chicago;Hilux;Toyota;Truck;Black;Manual;4;2;Petrol;2019;7500;2021-03-16;2021-03
Tucson;Etriga;Maruti;Hatchback;Black;Manual;4;5;Electric;2020;7900;2020-10-25;2020-10
Texas;Dzire;Maruti;Sedan;Blue;Manual;5;5;Electric;2018;8600;2021-05-26;2021-05
Portland;Yodha;Tata;Truck;Red;Automatic;3;2;Hybrid;2019;8500;2023-10-18;2023-10
Tucson;Thar;Mahindra;SUV;Blue;Manual;5;3;Electric;2018;9600;2022-07-04;2022-07
Denver;i20;Hyundai;Hatchback;White;Automatic;4;5;Petrol;2019;6500;2023-12-09;2023-12
Oklahoma;i20;Hyundai;Hatchback;White;Automatic;4;5;Petrol;2015;6900;2017-04-07;2017-04
Texas;Hilux;Toyota;Truck;Gray;Manual;4;2;Hybrid;2015;8900;2017-10-08;2017-10
New York;i20;Hyundai;Hatchback;Red;Automatic;4;5;Petrol;2018;6600;2023-01-17;2023-01
Florida;Thar;Mahindra;SUV;Black;Manual;5;3;Electric;2023;9100;2020-02-13;2020-02
Columbus;Creta;Hyundai;Hatchback;Blue;Manual;5;5;Electric;2020;7900;2021-02-21;2021-02
Texas;Fortuner;Toyota;SUV;Gray;Manual;8;5;Electric;2018;9600;2015-06-11;2015-06
California;Fortuner;Toyota;SUV;Red;Automatic;8;5;Petrol;2015;8400;2023-12-18;2023-12
Detroit;Dzire;Maruti;Sedan;Blue;Automatic;5;5;Petrol;2016;7300;2024-09-14;2024-09
Chicago;Swift;Maruti;Sedan;Black;Manual;5;4;Hybrid;2016;8300;2020-09-26;2020-09
Detroit;Seltos;Kia;Hatchback;Red;Automatic;5;5;Hybrid;2021;7300;2015-08-17;2015-08
Denver;Seltos;Kia;Hatchback;Blue;Automatic;5;5;Electric;2021;7800;2019-08-04;2019-08
New York;Kags;Renault;SUV;Red;Automatic;7;5;Petrol;2022;7700;2015-08-16;2015-08
Philadelphia;Kags;Renault;SUV;Red;Manual;7;5;Diesel;2024;7600;2021-09-24;2021-09
New York;Seltos;Kia;Hatchback;Blue;Automatic;5;5;Petrol;2020;6400;2022-07-14;2022-07
North Carolina;Swift;Maruti;Sedan;Blue;Manual;5;4;Electric;2015;8900;2019-07-12;2019-07
Detroit;Yodha;Tata;Truck;White;Automatic;3;2;Diesel;2015;8000;2016-10-24;2016-10
Chicago;Swift;Maruti;Sedan;White;Manual;5;4;Electric;2020;8400;2023-12-02;2023-12
Oklahoma;Creta;Hyundai;Hatchback;Blue;Manual;5;5;Hybrid;2023;7100;2024-05-01;2024-05
Florida;Swift;Maruti;Sedan;Gray;Manual;5;4;Petrol;2021;6800;2020-03-27;2020-03
San Jose;Thar;Mahindra;SUV;Black;Manual;5;3;Hybrid;2021;8800;2016-02-29;2016-02
Florida;Hilux;Toyota;Truck;Gray;Manual;4;2;Electric;2021;8800;2018-01-25;2018-01
California;Thar;Mahindra;SUV;White;Manual;5;3;Hybrid;2024;8500;2021-02-07;2021-02
North Carolina;Thar;Mahindra;SUV;White;Automatic;5;3;Hybrid;2018;9100;2024-03-19;2024-03
Tucson;i20;Hyundai;Hatchback;Gray;Manual;4;5;Hybrid;2017;7700;2022-02-11;2022-02
Portland;Etriga;Maruti;Hatchback;Red;Manual;4;5;Electric;2019;8000;2016-10-22;2016-10
Tennessee;i20;Hyundai;Hatchback;Red;Automatic;4;5;Petrol;2015;6900;2020-11-30;2020-11
New York;Thar;Mahindra;SUV;Blue;Manual;5;3;Diesel;2024;7600;2019-04-03;2019-04
California;Swift;Maruti;Sedan;Black;Automatic;5;4;Electric;2024;8000;2019-08-29;2019-08
Chicago;Hilux;Toyota;Truck;Black;Automatic;4;2;Petrol;2020;7400;2016-10-13;2016-10
Detroit;Etriga;Maruti;Hatchback;Black;Automatic;4;5;Electric;2022;7700;2024-05-04;2024-05
Tennessee;Seltos;Kia;Hatchback;Red;Automatic;5;5;Hybrid;2024;7000;2016-07-07;2016-07
